Position,Resume,Skills,,,,
Data Science,"Skills * Programming Languages: Python (pandas, numpy, scipy, scikit-learn, matplotlib), Sql, Java, JavaScript/JQuery. * Machine learning: Regression, SVM, NaÃ¯ve Bayes, KNN, Random Forest, Decision Trees, Boosting techniques, Cluster Analysis, Word Embedding, Sentiment Analysis, Natural Language processing, Dimensionality reduction, Topic Modelling (LDA, NMF), PCA & Neural Nets. * Database Visualizations: Mysql, SqlServer, Cassandra, Hbase, ElasticSearch D3.js, DC.js, Plotly, kibana, matplotlib, ggplot, Tableau. * Others: Regular Expression, HTML, CSS, Angular 6, Logstash, Kafka, Python Flask, Git, Docker, computer vision - Open CV and understanding of Deep learning.Education Details 

Data Science Assurance Associate 

Data Science Assurance Associate - Ernst & Young LLP
Skill Details 
JAVASCRIPT- Exprience - 24 months
jQuery- Exprience - 24 months
Python- Exprience - 24 monthsCompany Details 
company - Ernst & Young LLP
description - Fraud Investigations and Dispute Services   Assurance
TECHNOLOGY ASSISTED REVIEW
TAR (Technology Assisted Review) assists in accelerating the review process and run analytics and generate reports.
* Core member of a team helped in developing automated review platform tool from scratch for assisting E discovery domain, this tool implements predictive coding and topic modelling by automating reviews, resulting in reduced labor costs and time spent during the lawyers review.
* Understand the end to end flow of the solution, doing research and development for classification models, predictive analysis and mining of the information present in text data. Worked on analyzing the outputs and precision monitoring for the entire tool.
* TAR assists in predictive coding, topic modelling from the evidence by following EY standards. Developed the classifier models in order to identify ""red flags"" and fraud-related issues.

Tools & Technologies: Python, scikit-learn, tfidf, word2vec, doc2vec, cosine similarity, NaÃ¯ve Bayes, LDA, NMF for topic modelling, Vader and text blob for sentiment analysis. Matplot lib, Tableau dashboard for reporting.

MULTIPLE DATA SCIENCE AND ANALYTIC PROJECTS (USA CLIENTS)
TEXT ANALYTICS - MOTOR VEHICLE CUSTOMER REVIEW DATA * Received customer feedback survey data for past one year. Performed sentiment (Positive, Negative & Neutral) and time series analysis on customer comments across all 4 categories.
* Created heat map of terms by survey category based on frequency of words * Extracted Positive and Negative words across all the Survey categories and plotted Word cloud.
* Created customized tableau dashboards for effective reporting and visualizations.
CHATBOT * Developed a user friendly chatbot for one of our Products which handle simple questions about hours of operation, reservation options and so on.
* This chat bot serves entire product related questions. Giving overview of tool via QA platform and also give recommendation responses so that user question to build chain of relevant answer.
* This too has intelligence to build the pipeline of questions as per user requirement and asks the relevant /recommended questions.

Tools & Technologies: Python, Natural language processing, NLTK, spacy, topic modelling, Sentiment analysis, Word Embedding, scikit-learn, JavaScript/JQuery, SqlServer

INFORMATION GOVERNANCE
Organizations to make informed decisions about all of the information they store. The integrated Information Governance portfolio synthesizes intelligence across unstructured data sources and facilitates action to ensure organizations are best positioned to counter information risk.
* Scan data from multiple sources of formats and parse different file formats, extract Meta data information, push results for indexing elastic search and created customized, interactive dashboards using kibana.
* Preforming ROT Analysis on the data which give information of data which helps identify content that is either Redundant, Outdated, or Trivial.
* Preforming full-text search analysis on elastic search with predefined methods which can tag as (PII) personally identifiable information (social security numbers, addresses, names, etc.) which frequently targeted during cyber-attacks.
Tools & Technologies: Python, Flask, Elastic Search, Kibana

FRAUD ANALYTIC PLATFORM
Fraud Analytics and investigative platform to review all red flag cases.
â¢ FAP is a Fraud Analytics and investigative platform with inbuilt case manager and suite of Analytics for various ERP systems.
* It can be used by clients to interrogate their Accounting systems for identifying the anomalies which can be indicators of fraud by running advanced analytics
Tools & Technologies: HTML, JavaScript, SqlServer, JQuery, CSS, Bootstrap, Node.js, D3.js, DC.js","JAVA SCRIPT, JQUERY,PYTHON",,,,
HR,"I.T. Skills â¢ Windows XP, Ms Office (Word, Excel: Look-ups; Pivot table; other basic functions ; Power Point) â¢ Saral Payment Package- payroll software â¢ Internet ApplicationsEducation Details 
January 2006 Bachelor in Hospitality Management International Hospitality Management  Queen Margaret University Edinburg
January 2006 diploma Hotel Management  International Institute of Hotel Management
HR 


Skill Details 
Hr Management- Exprience - Less than 1 year monthsCompany Details 
company - Atri Developers
description - â¢ HR Payroll Statutory Compliance Performance Management
company - 
description - Employee Relations and Administration: Creating industry specific Policies, Procedure, Forms, Formats, Letters, Checklists etc

Payroll Management: Salary restructuring to process payroll of 600 employees.
â¢ Validation of all input (Attendance, Leaves, and Salaries) before starting salary process.
â¢ Processing accurate & error free salary of employees.
â¢ Responsible for compensation and benefits administration.
â¢ Coordinate with Accounts team for salary processing.
â¢ Attendance & Leave record management
â¢ Assuring prompt and satisfactory resolution of payroll related queries of all employees.

Statutory Compliance Management:
â¢  Manage various statutory compliance requirements (PF, ESIC, PT, Gratuity, TDS etc calculations, deduction, payment and return filing.
â¢ Generate statutory reports like Form 16, Form 24Q. Conducting session with employees on Statutory Policies and procedure, compliance related topics.
â¢ Shops and Commercial Establishments Act (S&E)
â¢ The Payment of Gratuity Act 1972
Recruitment and Selection: Handling recruitment like job posting in naukri portal and coordination. Create annual manpower plan and budget. Screen and schedule preliminary interview. Arrange for employee orientation. Handling joining formalities and salary account opening formalities.

Performance Management: End to end facilitation of PMS starting from creating Job Description & Appraisal Forms to Disbursement of Letters. KRA setting, Mid-year reviews, Annual reviews, handling all appraisal activities (360 Degree)

Training and Development: Conduct training need analysis and arrange various training session.

Employee engagement and  Employee Welfare: Creation and deployment  of Sales  Rewards and Recognition Schemes, Periodic Interactive sessions like Monthly Birthday Celebration, Annual Day, Diwali Dhamaka, Offsite etc.
Working on Saral Payment Package- payroll software as well as on excel
Assisting MD in HR works, offering suggestions and answering employee queries on payroll compliance related issues, other benefits (insurance, medical, reimbursement, ), full & final settlement of resigned employees.",HR MANAGEMENT,,,,
advocate,"Skills Legal Writing Efficient researcher Legal Education Family Law Criminal Defence Environment law and litigation Business legal issue Banking Law and commercial lawEducation Details 
January 2014 LLM Criminology Pune, Maharashtra University of Pune
January 2012 LLB Law Pune, Maharashtra University of Pune
January 2012 Diploma Labour Law Pune, Maharashtra University of Pune
Advocate 

Advocate
Skill Details 
LEGAL WRITING- Exprience - 6 months
LITIGATION- Exprience - 6 monthsCompany Details 
company - Family, Criminal in District and Session Court
description - Legal consultancy services for
Co-operative Banks, Scheduled Banks and Private Banks
Clients
Federal Bank (Chinchwad, Pune)
Bharat Co-Operative Bank (Chinchwad, Pune)
ICICI Bank

Scope of work
Finalising Loan Agreements,
Mortgage agreement, Release Deed  and Notice of Intimation,
Title Deed, Search Report
DRT cases
Legal notices for recovery of dues,
Filing Summary suits
Paper Notice,
Power of Attorney
Indemnity bond

Family Law
Legal Consultancy and representation for matters relating to Family disputes such as Marriage and Divorce, Succession, Adoption etc.
Lok Adalat
Panel Judicial Member - Four Times","legal writing, litigation",,,,
Arts,"â¢ Operating Systems: Windows XP / Vista / 07Education Details 
January 2018 M.F.A painting Nagpur, Maharashtra Nagpur University
January 2016 B.F.A. Painting Nagpur, Maharashtra Nagpur University
January 2012 Diploma Art  Maharashtra State Board
January 2010 H.S.C.   Maharashtra State Board
January 2008 S.S.C.   Maharashtra State Board
Fine arts lecturer 


Skill Details 
Ms-Cit- Exprience - 96 monthsCompany Details 
company - Shubhankan Fine Arts College, indore
description - â¢ I'm doing a job as a Lecturer in Shubhankan Fine Arts College Indore from Nov 2018.
â¢ I'm an Artist, completed ATD, BFA and MFA in painting. 
â¢ I'm searching for a job in my faculty in my area and comfort place. To improve my knowledge and experience in this field.
company - 
description - I have a experience of classes of painting, rangoli, drawing, summer classes, etc

Health: Physical Disability ( Orthopedically)","MS CIT, WINDOWS XP, VISTA",,,,
WEB DESIGNING,"Technical Skills Web Technologies: Angular JS, HTML5, CSS3, SASS, Bootstrap, Jquery, Javascript. Software: Brackets, Visual Studio, Photoshop, Visual Studio Code Education Details 
January 2015 B.E CSE Nagpur, Maharashtra G.H.Raisoni College of Engineering
October 2009  Photography Competition Click Nagpur, Maharashtra Maharashtra State Board
    College Magazine OCEAN
Web Designer 

Web Designer - Trust Systems and Software
Skill Details 
PHOTOSHOP- Exprience - 28 months
BOOTSTRAP- Exprience - 6 months
HTML5- Exprience - 6 months
JAVASCRIPT- Exprience - 6 months
CSS3- Exprience - Less than 1 year months
Angular 4- Exprience - Less than 1 year monthsCompany Details 
company - Trust Systems and Software
description - Projects worked on:
1. TrustBank-CBS
Project Description: TrustBank-CBS is a core banking solution by Trust Systems.
Roles and Responsibility:
â Renovated complete UI to make it more modern, user-friendly, maintainable and optimised for bank use.
â Shared the UI structure and guidelines to be incorporated, with development team of around 50
members.
â Achieved the target of project completion in given time frame.
â Made required graphics for the project in photoshop

2. Loan Bazar (Loan Appraisal)
Project Description: Loan Bazar is a MVC-based application dedicated to creating and managing
loan applications. The goal of this application is to streamline the process of loan application and integrate with existing CBS.
Roles and Responsibility
â Designed and developed modern and responsive UI of entire application and achieved the target in given time frame.
â Made required graphics for the project in photoshop
3. Capital Security Bond Application
Project Description: Capital Security Bond Application is a MVC based application which provided an online platform to purchase gold bond
Roles and Responsibility:
â Designed and developed modern and responsive UI of entire application and achieved the target in given time frame.
â Made required graphics for the project in photoshop

4. SoftGST
Project Description: SoftGST (Web Based Application) is an ASP application to every tax
payers and its vendors for generating the GSTR returns on the basis of sales / purchase
data, additionally the application can do the reconciliation of GSTR 2 A with purchase register.
Roles and Responsibility:
â Designed and developed the UI of Dashboard.

5. Trust Analytica:
Project Description: Trust Analytika is the mobile web app that shows bank asset, liability,
income, expenses.
Roles and Responsibility:
â Designed and developed the landing page of the application.
â Supported the developers in UI implementation

6. Website's:
Project Name:
1. TSR Technology Services - http://tsrtechnologyservices.com
2. Vidarbha Merchants Urban Co-Op Bank - http://vmcbank.com
3. GISSS - http://gisss.co.in
4. Softtrust USA - http://softtrustusa.com
Roles and Responsibility
â Communicated with clients to understand their requirement
â Made mocks for the website
â Designed and developed complete website and hosted them in stipulated time.
company - www.jalloshband.com
description - Project Name:
1. Jallosh Band - www.jalloshband.com
2. An Endeavor Foundation
Roles and Responsibility:
â Communicated with clients to understand their requirement
â Made mocks for the website
â Designed and developed complete website and hosted them in stipulated time.
company - 10MagicalFingers
description - National and international client interaction.
â Management of digital data","PHOTOSTRAP. BOOTSTRAP, HTML5, CSS3, JAVASCRIPT, ANGULAR",,,,
MECHANICAL ENGINEER,"* I'm hard working person. * I'm self confident and can mould myself to all work environments.Education Details 
January 2016 B.E MECHANICAL ENGINEERING  ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY
January 2010 H.S.C.  Mumbai, Maharashtra MUMBAI UNIVERSITY Secured
January 2008 S.S.C.   PRAKASH Jr. COLLEGE OF SCIENCE & COMMERCE
    S.M.T. RAJDEVI HINDI HIGH SCHOOL
    MAHARSHTRA STATE BOARD Secured
Design Engineer (Mechanical) 


Skill Details 
Autocad, solidworks, catia- Exprience - 12 monthsCompany Details 
company - SANARCO ENGINEERING PVT LTD
description - * 1year in SANARCO ENGINEERING PVT. LTD. As a mechanical design engineer.
* Working in SURYA FITNESS as a design engineer.

Major project:
* Project based on  AUTOMATIC WALL PLASTERING MACHINE.
* Automated plastering machine is unique and perhaps one kind of automated plastering machinery ideally suitable for the construction/building industry.
* Automated plastering machine makes rendering easier, faster, and effortless as compare to manual application.
* Automated plastering machine works with conventional cement mortar which brings it to a smooth, flat finish.
* It has good future scope.

Personal Detais:
* Father's Name: Gyandatt Chauhan
*                              
*                            
* I'm hard working person. * I'm self confident and can mould myself to all work environments.Education Details 
January 2016 B.E MECHANICAL ENGINEERING  ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY
January 2010 H.S.C.  Mumbai, Maharashtra MUMBAI UNIVERSITY Secured
January 2008 S.S.C.   PRAKASH Jr. COLLEGE OF SCIENCE & COMMERCE
    S.M.T. RAJDEVI HINDI HIGH SCHOOL
    MAHARSHTRA STATE BOARD Secured
Design Engineer (Mechanical) 


Skill Details 
Autocad, solidworks, catia- Exprience - 12 monthsCompany Details 
company - SANARCO ENGINEERING PVT LTD
description - * 1year in SANARCO ENGINEERING PVT. LTD. As a mechanical design engineer.
* Working in SURYA FITNESS as a design engineer.

Major project:
* Project based on  AUTOMATIC WALL PLASTERING MACHINE.
* Automated plastering machine is unique and perhaps one kind of automated plastering machinery ideally suitable for the construction/building industry.
* Automated plastering machine makes rendering easier, faster, and effortless as compare to manual application.
* Automated plastering machine works with conventional cement mortar which brings it to a smooth, flat finish.
* It has good future scope.

Personal Detais:
* Father's Name: Gyandatt Chauhan
*                              
*                         ","AUTOCAD, SOLIDWORKS, CATIA",,,,
SALES,"Skill Sets: â¢ Multi-tasking â¢ Collaborative â¢ Optimistic Thinking â¢ Effective teamleader/team trainer â¢ Visualizing the work which is to be done â¢ Good Grip on Communication â¢ Various Languages Known â¢ Value loyalty and is loyal towards my responsibility â¢ Compatible working with MS officeEducation Details 
January 2017 MBA Marketing & Sales  Amity University
January 2015 Bsc. Hotel Management  P.S.G College of arts and sciences
    Institution/University/Board
Sales Manager 

Sales and Marketing Management
Skill Details 
MS office- Exprience - 4 monthsCompany Details 
company - Cohesive Technologies
description - I am responsible for Managing company's business in Mumbai area,along with branch Manager,I follow up leads given to me by my corporate office, I meet them personally give them the best solutions and product suitable for their business, I even generate leads by myself by calling up the clients through cold call,My job is like an entrepreneur here, which basically involves managing a small business.","MS OFFICE, SALES MANAGEMENT, MARKETING SKILLS",,,,
HEALTH AND FITNESS,"SKILLS: Computer: â¢ Can easily operate in Operating System like Windows 10. â¢ Can work in Ms-Office (Word, Excel, and PowerPoint). â¢ Can easily operate internet & Gym Management Software (website & mobile application).Education Details 
January 2010 Advance Diploma in Hotel Management   J&W Institute of Hotel Management
Gym management & Consultant 

Gym management & Consultant - Sculpt Fitness Centre
Skill Details 
Excel- Exprience - 96 months
PowerPoint- Exprience - 96 months
Word- Exprience - 96 months
Gym Management Software- Exprience - 96 monthsCompany Details 
company - Sculpt Fitness Centre
description - 2015 - Present	Sales, Fitness, Operations
company - AB's Fitness Club
description - Fitness, Sales, Administration, Facility & House-keeping
company - AB's Fitness Club
description - Sales, Fitness, Operations
company - Ultimate Fitness Club
description - 
company - Tripod Fitness Arena
description - Sales, Administration
company - C K Fitness
description - Sales & Fitness Staff Recruitment

KEY ROLES:
â¢ Designing and promoting activities to meet customer demand and generate revenue;
â¢ Advertising and promoting the club or Centre to increase usage, considering market research;
â¢ Recruiting, training and supervising staff, including managing staff rotas;
â¢ Taking Daily/weekly/monthly reporting from Fitness Manager, Sales Team Lead And Housekeeping Head;
â¢ Carrying out health and safety checks on the equipment and site;
â¢ Retaining existing members by providing good quality of service and by providing good sales programs;
â¢ Prioritizing target activities and user groups (especially in local authority Centres);
â¢ Customer Relationship;
â¢ Providing training to the sales staff to Deal with enquiries, complaints and emergencies
â¢ Delivering some fitness training or coaching in sports activities - often a good way of maintaining contact with customers;
â¢ Preparing and checking budgets and generating revenue;
â¢ Cashing-up and keeping stock records of supplements;
â¢ Utilizing Group-X studio by scheduling exciting grouper's batches;
â¢ Writing monthly or weekly reports and preparing cash projections for Centre owners;
â¢ Enhancing profitability by organizing and delivering an appropriate range of fitness activities/programs;
â¢ Keeping statistical and financial records;
â¢ Keeping check on the Maintenance of fitness equipment & other facilities;
â¢ Ensuring compliance with health and safety legislation;
â¢ Maintaining customer service, Fitness & Hospitality standards;
â¢ Planning;
â¢ Undertaking administrative tasks;
â¢ Promoting and marketing the business;
company - Endurance Fitness Club
description - Fitness, Sales, Administration, Facility & House-keeping","OPERATE  SYSTEMSMS OFFICE, NUTRITIONIST",,,,
CIVIL ENGINEER,"SKILLS â¢ 1.Autocad â¢ 2.Pro v â¢ 3.Catia â¢ 4.word, excel â¢ 5.Photoshop INDUSTRIAL EXPOSURE Industrial Visit at: â¢ Larsen & Tubro (L & T)-3 months industrial training Inplant Training at: â¢ Ashoka Buildcon-Training for infrastructure setup and maintenance.Education Details 
January 2017 Masters in structure  Nashik, Maharashtra Universal University Nashik
Civil Engineer 

Civil Engineer
Skill Details 
Autocad- Exprience - 1 months
Catia- Exprience - 6 months
maintenance- Exprience - 48 months
photoshop- Exprience - 1 months
training- Exprience - 6 monthsCompany Details 
company - Color Sky Decor LLC Dubai
description - Role: Civil Engineer
company - Girija Construction And Devolopers
description - Role: Civil Engineer
company - Showrooms, Villa's, Hotels
description - â¢ 1.Exterior and Interior Of buildings, villa's etc.
â¢ 2.Construction of new building and villa's.
â¢ 3.Preparing bill of quantities, scheduling etc.
company - Showrooms, Villa's, Hotels
description - Maintenance and Interior outfit works of apartments, Showrooms, Villa's, Hotels etc.
Description: 1 Analyze photographs, drawings and maps to inform the direction of projects as well as the overall budget constraints

2 Ensure project feasibility through continual evaluation of structural integrity and design
practicality

3 Create schedule for project completion

3 Perform and adjust quantity calculations for practical and budgetary purposes

4 Communicate with team members as well as customers and vendors to ensure
maximum cohesion and fluidity on projects

5 Forecast design and construction time frames

6 Inspect project sites to ensure they meet relevant codes and are progressing properly
company - Sonia Buildcon
description - Role: Civil Engineer
company - 
description - 8.day-to-day management of the site, including supervising and monitoring the site labour
force and the work of any subcontractors
Duration: 2015-2016
Role: Civil Engineer
â¢ Construction, renovation, interior designing of buildings, malls, commercial complex, Villas etc.
Description: 1 Undertaking technical and feasibility studies including site investigations

2 Using a range of computer software for developing detailed designs

3 Undertaking complex calculations

4 Liaising with clients and a variety of professionals including architects and subcontractors

5 Compiling job specs and supervising tendering procedures

6 Resolving design and development problems

7 Managing budgets and project resources

8 Scheduling material and equipment purchases and deliveries

9 Making sure the project complies with legal requirements, especially health and safety

10 Assessing the sustainability and environmental impact of projects

11 Ensuring projects run smoothly and structures are completed within budget and on time
company - Grandeurs Realetors India
description - Role: Civil Site Engineer
company - 
description - Description: <Responsibility>
1.Evaluated overall cost of materails, labours, subcontractors and tools.

2.Regulated subcontractor work schedule and equipement delivery.

3.Provided required documents for owners and subcontractors.

4.Cheack regular basis project progrees and devolopment.

5.act as the main technical adviser on a construction site for subcontractors,
craftspeople and operatives.

6.ensure that all materials used and work performed are in accordance with the specifications.

7.liaise with any consultants, subcontractors, supervisors, planners, quantity surveyors
and the general workforce involved in the project.</Responsibility>","AUTOCAD, CATIA, MAINTENANCE, PHOTOSHOP,TRAINING",,,,
JAVA DEVELOPER,"TECHNICAL STRENGTHS Computer Language Java/J2EE, Swift, HTML, Shell script, MySQL Databases MySQL Tools SVN, Jenkins, Hudson, Weblogic12c Software Android Studio, Eclipse, Oracle, Xcode Operating Systems Win 10, Mac (High Sierra) Education Details 
June 2016 B.E. Information Technology Goregaon, MAHARASHTRA, IN Vidyalankar Institute of Technology
May 2013   Mumbai, Maharashtra Thakur Polytechnic
May 2010   Mumbai, Maharashtra St. John's Universal School
Java developer 

Java developer - Tech Mahindra
Skill Details 
JAVA- Exprience - 21 months
MYSQL- Exprience - 21 months
DATABASES- Exprience - 17 months
J2EE- Exprience - 17 months
ANDROID- Exprience - 6 monthsCompany Details 
company - Tech Mahindra
description - Team Size: 5
Environment: Java, Mysql, Shell script.
Webserver: Jenkins.
Description: OR-Formatter is an application which takes the input file as Geneva Modified File GMF from Geneva server and reads the data to generate Bill backup and Bill Invoices for Client customers of BT. These invoices would be sent across to all the clients after billing.
Contribution:
â¢	Played the role of Java developer involved in applying change request to current modules.
â¢	Worked on requirement analysis and development for the user stories and also preformed dev unit testing for the user stories.
â¢ Handled E2E issues and fixing bugs.
â¢	Prepare required program level and user-level documentation.
company - Tech Mahindra
description - Team Size: 5
Environment: Java EJB, Mysql, Shell script.
Webserver: Weblogic12c Server, Jenkins.
Description: STAA is an encapsulation middleware layer, acting as an interface between client's operational support systems and Legacy systems. It transforms the legacy data into various formats such as TLV. Input is in form xml/http to STAA where validations are done and the response is sent to the back end systems where back end systems are CSS and COSMOSS Databases. The business methods deployed as EJBs on WebLogic Server shared across various market facing units of client.
Contribution:
â¢	Played the role of Java developer involved in creating services using Java/J2EE.
â¢	Worked on requirement analysis and development for the user stories and also preformed dev unit testing for the user stories.
â¢ Handled E2E issues and fixing bugs.
â¢	Worked in Migration from java 1.6 to java 1.8.","JAVA, MYSQL, DATABASES, J2EE, ANDROID",,,,
